query,actual col,# actual col,T0.6 selected col,T0.6 # correct,T0.6 recall,T0.6 precision,T0.6 F1,T0.4 selected col,T0.4 # correct,T0.4 recall,T0.4 precision,T0.4 F1,T0.2 selected col,T0.2 # correct,T0.2 recall,T0.2 precision,T0.2 F1
Find the number of members living in each address.,['address'],1,['address'],1,1.0,1.0,1.0,['address'],1,1.0,1.0,1.0,"['num_of_staff_in_charge', 'level_of_membership', 'name', 'total_amount', 'member_id', 'num_of_staff', 'membership_card', 'address', 'age']",1,1.0,0.11,0.2
Count the number of cinemas.,[],0,"['cinema_id', 'capacity']",0,1.0,0.0,0.0,"['location', 'cinema_id', 'name', 'film_id', 'capacity', 'openning_year', 'show_times_per_day']",0,1.0,0.0,0.0,"['location', 'cinema_id', 'name', 'film_id', 'capacity', 'price', 'openning_year', 'show_times_per_day']",0,1.0,0.0,0.0
How many rooms does each block floor have?,"['blockcode', 'blockfloor']",2,"['roomnumber', 'blockcode', 'blockfloor', 'room']",2,1.0,0.5,0.66,"['roomnumber', 'room', 'blockcode', 'blockfloor', 'roomtype']",2,1.0,0.4,0.58,"['roomnumber', 'examinationroom', 'room', 'patient', 'blockcode', 'unavailable', 'blockfloor', 'roomtype']",2,1.0,0.25,0.4
What procedures cost less than 5000 and have John Wen as a trained physician?,"['name', 'treatment', 'employeeid', 'cost', 'code']",5,"['cost', 'physician']",1,0.2,0.5,0.28,"['pcp', 'cost', 'name', 'physician']",2,0.4,0.5,0.44,"['name', 'position', 'procedures', 'prepnurse', 'description', 'pcp', 'date', 'physician', 'examinationroom', 'appointment', 'stay', 'insuranceid', 'phone', 'employeeid', 'assistingnurse', 'cost', 'start', 'patient', 'roomtype', 'ssn', 'treatment', 'dose', 'dateundergoes', 'address']",4,0.8,0.17,0.28
What is the location with the most cinemas opened in year 2010 or later?,"['location', 'openning_year']",2,"['location', 'openning_year']",2,1.0,1.0,1.0,"['location', 'cinema_id', 'name', 'capacity', 'openning_year', 'show_times_per_day']",2,1.0,0.33,0.5,"['location', 'cinema_id', 'name', 'film_id', 'capacity', 'price', 'openning_year', 'date', 'show_times_per_day']",2,1.0,0.22,0.36
List the name of musicals that do not have actors.,"['name', 'musical_id']",2,['name'],1,0.5,1.0,0.66,"['name', 'nominee', 'year']",1,0.5,0.33,0.4,"['result', 'name', 'musical_id', 'nominee', 'award', 'year']",2,1.0,0.33,0.5
What is the official name and status of the city with the most residents?,"['status', 'official_name', 'population']",3,"['status', 'official_name', 'population']",3,1.0,1.0,1.0,"['status', 'official_name', 'area_km_2', 'city_id', 'population']",3,1.0,0.6,0.74,"['status', 'census_ranking', 'official_name', 'area_km_2', 'city_id', 'population']",3,1.0,0.5,0.66
What is total number of show times per dat for each cinema?,"['cinema_id', 'name', 'show_times_per_day']",3,[],0,0.0,ZeroDivisionError,,"['location', 'cinema_id', 'name', 'film_id', 'capacity', 'openning_year', 'show_times_per_day']",3,1.0,0.43,0.6,"['location', 'cinema_id', 'name', 'film_id', 'capacity', 'price', 'openning_year', 'show_times_per_day']",3,1.0,0.38,0.56
Return the characters and durations for each actor.,"['character', 'duration']",2,"['character', 'duration']",2,1.0,1.0,1.0,"['character', 'name', 'musical_id', 'actor_id', 'duration', 'age']",2,1.0,0.33,0.5,"['character', 'share', 'name', 'musical_id', 'actor_id', 'episode', 'duration', 'air_date', 'weekly_rank', 'id', 'rating', 'age']",2,1.0,0.17,0.3
Please show the different statuses of cities and the average population of cities with each status.,"['status', 'population']",2,"['status', 'population']",2,1.0,1.0,1.0,"['status', 'area_km_2', 'official_name', 'population']",2,1.0,0.5,0.66,"['status', 'census_ranking', 'official_name', 'area_km_2', 'city_id', 'population']",2,1.0,0.33,0.5
What are the title and director of the films without any schedule?,"['film_id', 'title', 'directed_by']",3,"['title', 'directed_by']",2,0.67,1.0,0.8,"['production_code', 'title', 'original_air_date', 'number_in_season', 'rank_in_series', 'directed_by']",2,0.67,0.33,0.44,"['production_code', 'film_id', 'title', 'original_air_date', 'number_in_season', 'rank_in_series', 'directed_by']",3,1.0,0.43,0.6
Sort the list of names and costs of all procedures in the descending order of cost.,"['cost', 'name']",2,"['cost', 'name']",2,1.0,1.0,1.0,"['cost', 'name']",2,1.0,1.0,1.0,"['physician', 'name', 'examinationroom', 'appointment', 'employeeid', 'position', 'department', 'procedures', 'insuranceid', 'stay', 'dateundergoes', 'assistingnurse', 'cost', 'phone', 'code', 'start', 'patient']",2,1.0,0.12,0.22
Which month has the most happy hours?,['month'],1,['month'],1,1.0,1.0,1.0,"['total_amount', 'member_id', 'shop_id', 'month', 'hh_id', 'num_of_staff_in_charge']",1,1.0,0.17,0.3,"['open_year', 'num_of_staff_in_charge', 'total_amount', 'member_id', 'shop_id', 'month', 'hh_id', 'time_of_purchase']",1,1.0,0.12,0.22
Which physicians are affiliated with either Surgery or Psychiatry department? Give me their names.,"['name', 'departmentid', 'employeeid']",3,"['physician', 'name', 'department']",1,0.33,0.33,0.34,"['physician', 'name', 'appointment', 'employeeid', 'position', 'department', 'pcp', 'address', 'patient']",2,0.67,0.22,0.34,"['name', 'position', 'procedures', 'prepnurse', 'stayid', 'description', 'pcp', 'date', 'nurse', 'physician', 'examinationroom', 'appointment', 'stay', 'insuranceid', 'phone', 'code', 'room', 'employeeid', 'department', 'assistingnurse', 'cost', 'start', 'end', 'patient', 'roomtype', 'ssn', 'brand', 'treatment', 'dose', 'dateundergoes', 'medication', 'address', 'appointmentid']",2,0.67,0.06,0.12
Give me the names of members whose address is in Harford or Waterbury.,"['address', 'name']",2,"['address', 'name']",2,1.0,1.0,1.0,"['address', 'name']",2,1.0,1.0,1.0,"['num_of_staff_in_charge', 'level_of_membership', 'name', 'member_id', 'membership_card', 'address', 'age']",2,1.0,0.29,0.44
Find the names of all procedures which cost more than 1000 but which physician John Wen was not trained in?,"['name', 'treatment', 'employeeid', 'cost', 'code']",5,"['cost', 'physician', 'name']",2,0.4,0.67,0.5,"['cost', 'physician', 'name', 'pcp']",2,0.4,0.5,0.44,"['name', 'position', 'procedures', 'prepnurse', 'description', 'pcp', 'date', 'physician', 'examinationroom', 'appointment', 'stay', 'insuranceid', 'phone', 'code', 'employeeid', 'assistingnurse', 'cost', 'patient', 'roomtype', 'ssn', 'brand', 'treatment', 'dose', 'dateundergoes', 'medication', 'address']",5,1.0,0.19,0.32
What are the distinct nominees of the musicals with the award that is not 'Tony Award'?,"['nominee', 'award']",2,"['result', 'nominee', 'award']",2,1.0,0.67,0.8,"['result', 'name', 'musical_id', 'nominee', 'award', 'category', 'year']",2,1.0,0.29,0.44,"['result', 'name', 'musical_id', 'nominee', 'award', 'category', 'year']",2,1.0,0.29,0.44
What are names of patients who made an appointment?,"['name', 'ssn']",2,"['physician', 'name', 'appointment', 'address', 'patient']",1,0.5,0.2,0.28,"['name', 'position', 'procedures', 'prepnurse', 'stayid', 'pcp', 'nurse', 'physician', 'examinationroom', 'appointment', 'insuranceid', 'phone', 'room', 'employeeid', 'assistingnurse', 'start', 'end', 'registered', 'patient', 'address', 'appointmentid']",1,0.5,0.05,0.1,"['name', 'position', 'procedures', 'prepnurse', 'stayid', 'description', 'pcp', 'date', 'nurse', 'physician', 'examinationroom', 'appointment', 'stay', 'insuranceid', 'phone', 'code', 'blockfloor', 'room', 'employeeid', 'department', 'assistingnurse', 'cost', 'start', 'end', 'registered', 'patient', 'roomtype', 'ssn', 'brand', 'treatment', 'dateundergoes', 'blockcode', 'medication', 'address', 'appointmentid']",2,1.0,0.06,0.12
Count the number of patients who stayed in room 112.,"['patient', 'room']",2,"['roomnumber', 'patient', 'room']",2,1.0,0.67,0.8,"['roomnumber', 'ssn', 'examinationroom', 'room', 'stay', 'blockfloor', 'stayid', 'phone', 'unavailable', 'address', 'patient', 'roomtype']",2,1.0,0.17,0.3,"['name', 'position', 'procedures', 'prepnurse', 'stayid', 'pcp', 'nurse', 'roomnumber', 'physician', 'examinationroom', 'appointment', 'stay', 'insuranceid', 'phone', 'code', 'unavailable', 'blockfloor', 'room', 'employeeid', 'staystart', 'assistingnurse', 'start', 'end', 'registered', 'patient', 'roomtype', 'ssn', 'dose', 'blockcode', 'medication', 'stayend', 'address', 'appointmentid']",2,1.0,0.06,0.12
What are the names of musicals who have at 3 or more actors?,"['name', 'musical_id']",2,['name'],1,0.5,1.0,0.66,"['result', 'name', 'nominee', 'year']",1,0.5,0.25,0.34,"['result', 'name', 'musical_id', 'nominee', 'award', 'year']",2,1.0,0.33,0.5
"Return the themes of farm competitions, sorted by year ascending.","['theme', 'year']",2,"['theme', 'year']",2,1.0,1.0,1.0,"['rank', 'theme', 'competition_id', 'farm_id', 'year']",2,1.0,0.4,0.58,"['farm_id', 'oxen', 'cows', 'sheep_and_goats', 'working_horses', 'rank', 'bulls', 'pigs', 'year', 'theme', 'competition_id', 'hosts', 'total_horses', 'total_cattle']",2,1.0,0.14,0.24
Please show the nominee who has been nominated the greatest number of times.,['nominee'],1,['nominee'],1,1.0,1.0,1.0,"['category', 'nominee']",1,1.0,0.5,0.66,"['category', 'result', 'nominee', 'award']",1,1.0,0.25,0.4
"What are the names of actors, ordered alphabetically?",['name'],1,['name'],1,1.0,1.0,1.0,"['character', 'name', 'musical_id', 'actor_id', 'duration', 'age']",1,1.0,0.17,0.3,"['character', 'name', 'musical_id', 'actor_id', 'episode', 'duration', 'weekly_rank', 'id', 'age']",1,1.0,0.11,0.2
