content,link
ถ้าคุณมีปัญหาเหล่านี้ โครงการนี้คือคำตอบ คุณเอ๋ ทศพล ผู้เชี่ยวชาญด้านกลยุทธ์การวางแผนการเทรดในตลาด TFEXคุณอ๋อง เอกภาวิน ผู้เชี่ยวชาญด้านการวิเคราะห์ทางเทคนิคในตลาดหุ้นไทย เรียนสดแบบเข้มข้น ผ่าน Facebook Live ในกลุ่มปิด Trader Camp Coaching และกิจกรรมฝึกเทรดต่อเนื่อง Workshop เทรดกับสถานการณ์จริง กับผู้เชี่ยวชาญตัวจริง ,https://www.innovestx.co.th/trader-camp
 ดร.อารักษ์ สุธีวงศ์ ประธานเจ้าหน้าที่บริหาร Chief Executive Officer นางบุญทิพย์ กฤตชัยกุล กรรมการผู้จัดการ Chief Equity Business Officer นายพุฒิกานต์ เอารัตน์ กรรมการผู้จัดการ Chief Digital Business Officer นายธนวัฒน์ พานิชเกษม กรรมการผู้จัดการ Chief Proprietary Trading Officer นายสุกิจ อุดมศิริกุล กรรมการผู้จัดการ Chief Research Officer นาย วีรภัทร จันทรวรรณกูล กรรมการผู้จัดการ Chief Technology Officer นายเดชพล แหลมวิไล รองกรรมการผู้จัดการ Chief Strategy Officer นางสาวเอกาญ ปัญญาคำเลิศ รองกรรมการผู้จัดการ Chief Investment Product and Operations นางสาวปราณิศา โกวิทวัฒนพงศ์ รองกรรมการผู้จัดการ Chief Financial Officer นางสาวศศวรรณ พิพัฒน์ธนนันท์ รองกรรมการผู้จัดการ Chief Transformation and Corporate Affair Officer,https://www.innovestx.co.th/about-us/management
Selected Awards since 2000            ,https://www.innovestx.co.th/about-us/rewards-innovestx
"การลงทุนทางเลือกที่ให้โอกาสในการสร้างผลตอบแทนที่สูงขึ้น จากกลยุทธ์ที่มุ่งเน้นศึกษาปัจจัยพื้นฐานของกิจการและเข้าลงทุนในหุ้นของกิจการที่มีราคาตลาดต่ำกว่ามูลค่าที่แท้จริงในลักษณะกระจุกตัว เพื่อสร้างผลตอบแทนในระยะกลาง-ยาวที่เหนือกว่าตลาด เราจะเลือกถือหุ้นที่มีโอกาสสร้างผลตอบแทนเมื่อเทียบกับความเสี่ยงที่ดีที่สุดเพียง 7-15 ตัวเท่านั้นในพอร์ตการลงทุนในแต่ละช่วงเวลา • วิเคราะห์บริษัทที่จะเข้าทำการลงทุนอย่างถี่ถ้วน     • ลงทุนใน 7-15 บริษัทเท่านั้น • ผู้บริหารบริษัทมีความเชี่ยวชาญในธุรกิจอย่างยาวนาน      • มีผลประโยชน์ไปในทางเดียวกับผู้ถือหุ้น • ไม่ลงทุนอิงกับดัชนี      • ไม่เก็งกำไร      • ไม่กู้เงินมาลงทุน ไม่มีการใช้ตราสารอนุพันธ์      • ไม่ขายชอร์ต     •
                    ไม่ซื้อขายระยะสั้น (อัตราส่วนหมุนเวียนการลงทุนต่ำ) • วิเคราะห์บริษัทที่จะเข้าทำการลงทุนอย่างถี่ถ้วน     • ลงทุนใน 7-15 บริษัทเท่านั้น • ผู้บริหารบริษัทมีความเชี่ยวชาญในธุรกิจอย่างยาวนาน      • มีผลประโยชน์ไปในทางเดียวกับผู้ถือหุ้น • ไม่ลงทุนอิงกับดัชนี      • ไม่เก็งกำไร      • ไม่กู้เงินมาลงทุน ไม่มีการใช้ตราสารอนุพันธ์      • ไม่ขายชอร์ต     •
                    ไม่ซื้อขายระยะสั้น (อัตราส่วนหมุนเวียนการลงทุนต่ำ) • วิเคราะห์บริษัทที่จะเข้าทำการลงทุนอย่างถี่ถ้วน     • ลงทุนใน 7-15 บริษัทเท่านั้น • ผู้บริหารบริษัทมีความเชี่ยวชาญในธุรกิจอย่างยาวนาน      • มีผลประโยชน์ไปในทางเดียวกับผู้ถือหุ้น • ไม่ลงทุนอิงกับดัชนี      • ไม่เก็งกำไร      • ไม่กู้เงินมาลงทุน ไม่มีการใช้ตราสารอนุพันธ์      • ไม่ขายชอร์ต     •
                    ไม่ซื้อขายระยะสั้น (อัตราส่วนหมุนเวียนการลงทุนต่ำ) การลงทุนทางเลือกที่ให้โอกาสในการสร้างผลตอบแทนที่สูงขึ้น จากกลยุทธ์ที่มุ่งเน้นศึกษาปัจจัยพื้นฐานของกิจการและเข้าลงทุนในหุ้นของกิจการที่มีราคาตลาดต่ำกว่ามูลค่าที่แท้จริงในลักษณะกระจุกตัว เพื่อสร้างผลตอบแทนในระยะกลาง-ยาวที่เหนือกว่าตลาด เราจะเลือกถือหุ้นที่มีโอกาสสร้างผลตอบแทนเมื่อเทียบกับความเสี่ยงที่ดีที่สุดเพียง 7-15 ตัวเท่านั้นในพอร์ตการลงทุนในแต่ละช่วงเวลา ซึ่งคุณสามารถเลือกนโยบายการลงทุนที่เหมาะกับตัวเอง ได้ตามที่ต้องการ ผ่านกองทุนส่วนบุคคลที่มีหลายนโยบาย ลดภาระการติดตามข่าวสาร และประหยัดเวลาการบริหารเงินด้วยตัวเอง ที่มีประสบการณ์ในอุตสาหกรรมอย่างต่อเนื่อง สามารถวิเคราะห์การลงทุนและเข้าถึงข้อมูลการลงทุนได้ พอร์ตการลงทุนที่มีการกระจายความเสี่ยงที่เหมาะสม ลดความผันผวนของการลงทุน และ มีการปรับสัดส่วนการลงทุนให้เหมาะกับสถานการณ์ ซึ่งคุณสามารถเลือกนโยบายการลงทุนที่เหมาะกับตัวเอง ได้ตามที่ต้องการ ผ่านกองทุนส่วนบุคคลที่มีหลายนโยบาย ลดภาระการติดตามข่าวสาร และประหยัดเวลาการบริหารเงินด้วยตัวเอง ที่มีประสบการณ์ในอุตสาหกรรมอย่างต่อเนื่อง สามารถวิเคราะห์การลงทุนและเข้าถึงข้อมูลการลงทุนได้ พอร์ตการลงทุนที่มีการกระจายความเสี่ยงที่เหมาะสม ลดความผันผวนของการลงทุน และ มีการปรับสัดส่วนการลงทุนให้เหมาะกับสถานการณ์ ซึ่งคุณสามารถเลือกนโยบายการลงทุนที่เหมาะกับตัวเอง ได้ตามที่ต้องการ ผ่านกองทุนส่วนบุคคลที่มีหลายนโยบาย ลดภาระการติดตามข่าวสาร และประหยัดเวลาการบริหารเงินด้วยตัวเอง ที่มีประสบการณ์ในอุตสาหกรรมอย่างต่อเนื่อง สามารถวิเคราะห์การลงทุนและเข้าถึงข้อมูลการลงทุนได้ พอร์ตการลงทุนที่มีการกระจายความเสี่ยงที่เหมาะสม ลดความผันผวนของการลงทุน และ มีการปรับสัดส่วนการลงทุนให้เหมาะกับสถานการณ์ Team Profile “ผู้ลงทุนควรทำความเข้าใจลักษณะสินค้า เงื่อนไขผลตอบแทน และความเสี่ยง ก่อนตัดสินใจลงทุน”",https://www.innovestx.co.th/products/investment-advisor/private-fund
Document,https://www.innovestx.co.th/docs/default-source/product-pdf/private-fund/invx-id-alphafund-th.pdf?sfvrsn=68e3741_1
Document,https://www.innovestx.co.th/docs/default-source/product-pdf/private-fund/invx-id-alphafund-en.pdf?sfvrsn=6b88884d_1
 นายอาทิตย์ นันทวิทยา ประธานกรรมการ Chairman of the Board นายประกิด บุณยัษฐิติ กรรมการ และประธานกรรมการตรวจสอบ Director and chairman of the audit committee ดร.พสุ เดชะรินทร์ กรรมการ Director นางกุลภัทรา สิโรดม กรรมการ Director ดร.อารักษ์ สุธีวงศ์ กรรมการ และประธานเจ้าหน้าที่บริหาร Director and Chief Executive Officer นางวัลลยา แก้วรุ่งเรือง กรรมการ และกรรมการตรวจสอบ Director and Member of the Audit Committee,https://www.innovestx.co.th/about-us/board-of-directors
Document,https://www.innovestx.co.th/docs/default-source/product-pdf/private-fund/i-code.pdf?sfvrsn=a774f139_1
" Phasuvut is the head of Private Fund Management department at InnovestX Securities Co., Ltd. (""INVX""), formerly known as SCB Securities, a wholly-owned subsidiary of SCBX Plc.. He is the portfolio
                        manager of Alpha Fund, our flagship fund, and overseeing all strategies and investment policies of private fund management team. Phasuvut is a value-driven investor with over 10 years of experience in the financial
                        industry including corporate lending, investment banking, and fund management. He was in the investment banking team at Asia Plus Group Holdings PCL., responsible for conducting Initial public offerings (IPOs), merger & acquisition
                        (M&A), and financial feasibility study transactions. Prior to joining INVX, he was managing offshore family offices’ capital focusing on Thailand’s and Vietnam’s markets with an investment exposure in both
                        private and public equities. Phasuvut graduated from Chulalongkorn University with B.E. in industrial engineering and is CFA Charterholder. He also serves as a member of the board of directors of CFA Society Thailand.
                        He is an accredited Financial advisor for IPO/M&A transactions from the Securities Exchange Commission (SEC) and accredited Fund manager from the Association of Investment Management Companies (AIMC).  Pirameth is the deputy head of Private Fund Management department. He leads business development, fund trading & execution, and back-office operation. Prior to joining Alpha Fund, Pirameth was awarded top talent and spent 4 years as team manager of portfolio and segmentation strategist at Kasikornbank PLC. , specializing in data analytics and information processing. Prior to that, he worked in asset management area as a business development at TISCO Financial Group PLC., responsible for developing investment products and streamlining operations in all types of funds including mutual fund, provident fund, and private fund. Pirameth is a CFA charterholder. He holds an MBA and a BS in Engineering from Chulalongkorn University   Jaranapong  is a portfolio manager covering a diverse range of assets globally, including equity, fixed income, alternative investments, and private assets. Jaranapong is managing discretionary
                        portfolio , various policies tailored for private fund's clients. He has over 10 years of experience in financial industry. He was a portfolio manager of mutual funds and private funds, for institutional and individual clients
                        at Krungthai Asset Management; and was an investment advisory for wealth clients at SCB Private Banking. Jaranapong holds Master of Science in Finance from Chulalongkorn University, and is a CFA Charterholder and a
                        certified FRM (Financial Risk Manager).   Rachakan is an equity analyst covering companies in Southeast Asia region with a focus in Thai and Indonesian markets. Prior to joining Alpha Fund, he was an Associate Director at The Quant Group where
                        he spent 5 years as an M&A investment banker leading teams in advising large conglomerates and private equity firms in their acquisitions, restructuring and divestitures. Rachakan holds a BA, MA and MEng in Chemical
                        Engineering and Biotechnology (via Natural Sciences) from the University of Cambridge and is a CFA Charterholder.   Lattasit is an equity analyst covering companies in Southeast Asia with a focus in Vietnamese and Chinese markets. Prior to joining Alpha Fund, Lattasit was an associate focusing in FMCG at Lakeshore
                        Capital, a private equity fund focusing on Thailand and the Greater Mekong Sub-region. Before that, he was a Food & Beverage analyst at Khronos Advisory, Investment banking firm in Thailand. Lattasit holds a Masters
                        in Financial Analysis (MFA) from London Business School, UK, and a Bachelors of Arts in Finance from Michigan State University (MSU), USA.   Nakarin Lueangwattanakit, CFA Assistant Vice President Nakarin is an equity analyst covering companies in Southeast Asia region with a focus in Thai and Chinese market. Prior to joining Alpha Fund, he was an equity research analyst at SCB Asset Management,
                        responsible for analyzing the listed companies in the telecom, media, and electronic sectors. Prior to that, he was an analyst at Emerald Springs Asset, responsible for analyzing the global equities, specializing in the technology
                        sector.
                        Nakarin holds Bachelor of Business Administration (BBA) from Chulalongkorn University and is a CFA Charterholder.   Chidchanok is an equity analyst covering companies in Southeast Asia region with a focus in Thai and Indonesian market. Prior to joining Alpha Fund, she was a Senior Associate at Deal Advisory –
                        KPMG Thailand where she conducted financial due diligence for M&A transactions to corporates in Thailand and overseas, with a focus on financial, F&B, and manufacturing industry. Chidchanok holds Bachelor of Accounting
                        from Thammasat University.   Natthaya  is an equity analyst covering companies in Southeast Asia region with a focus in Chinese markets. Prior to joining Alpha Fund, Natthaya worked for ShopeePay Regional Office as a Senior Associate,
                        leading and project managing all Digital Financial Services Initiatives across Asia markets. Prior to that, She was a Credit Portfolio Risk Manager at Citibank, N.A. Natthaya holds a Bachelor of Business Administration (BBA) majoring
                        in Finance from Chulalongkorn University.   Krittapas is an equity analyst covering companies in Southeast Asia region with a focus in Thai and Indonesian market. Prior to joining Alpha Fund, Krittapas has a background in finance, as an investment
                        banking analyst at Kiatnakin Phatra Securities Plc. Krittapas holds a Bachelor of Business Administration (BBA) from Thammasat University. ",https://www.innovestx.co.th/products/investment-advisor/private-fund/investment-team-profile-page
 ,https://www.innovestx.co.th/about-us/board-of-director-pasu
