query,actual col,T0.6 selected col,T0.6 # correct,T0.6 recall,T0.6 precision,T0.6 F1,T0.4 selected col,T0.4 # correct,T0.4 recall,T0.4 precision,T0.4 F1,T0.2 selected col,T0.2 # correct,T0.2 recall,T0.2 precision,T0.2 F1
Find the number of members living in each address.,['address'],[],0,0.0,,,['address'],1,1.0,1.0,1.0,"['num_of_staff', 'num_of_staff_in_charge', 'address', 'member_id', 'name', 'age', 'level_of_membership', 'membership_card', 'total_amount']",1,1.0,0.11,0.2
Count the number of cinemas.,[],"['cinema_id', 'capacity']",0,,0.0,,"['show_times_per_day', 'name', 'cinema_id', 'capacity', 'film_id', 'openning_year', 'location']",0,,0.0,,"['show_times_per_day', 'name', 'cinema_id', 'capacity', 'price', 'film_id', 'openning_year', 'location']",0,,0.0,
How many rooms does each block floor have?,"['blockfloor', 'blockcode']",['room'],0,0.0,0.0,,['room'],0,0.0,0.0,,['room'],0,0.0,0.0,
What procedures cost less than 5000 and have John Wen as a trained physician?,"['name', 'employeeid', 'cost', 'treatment', 'code']",['cost'],1,0.2,1.0,0.34,['cost'],1,0.2,1.0,0.34,['cost'],1,0.2,1.0,0.34
What is the location with the most cinemas opened in year 2010 or later?,"['openning_year', 'location']","['openning_year', 'location']",2,1.0,1.0,1.0,"['show_times_per_day', 'name', 'cinema_id', 'capacity', 'openning_year', 'location']",2,1.0,0.33,0.5,"['show_times_per_day', 'name', 'date', 'cinema_id', 'capacity', 'price', 'film_id', 'openning_year', 'location']",2,1.0,0.22,0.36
List the name of musicals that do not have actors.,"['musical_id', 'name']",['name'],1,0.5,1.0,0.66,"['musical_id', 'duration', 'name', 'character']",2,1.0,0.5,0.66,"['musical_id', 'name', 'character', 'age', 'actor_id', 'duration']",2,1.0,0.33,0.5
What is the official name and status of the city with the most residents?,"['population', 'official_name', 'status']","['population', 'official_name', 'status']",3,1.0,1.0,1.0,"['population', 'official_name', 'city_id', 'status', 'area_km_2']",3,1.0,0.6,0.74,"['population', 'official_name', 'city_id', 'status', 'area_km_2', 'census_ranking']",3,1.0,0.5,0.66
What is total number of show times per dat for each cinema?,"['show_times_per_day', 'cinema_id', 'name']",[],0,0.0,,,"['show_times_per_day', 'name', 'cinema_id', 'capacity', 'film_id', 'openning_year', 'location']",3,1.0,0.43,0.6,"['show_times_per_day', 'name', 'cinema_id', 'capacity', 'price', 'film_id', 'openning_year', 'location']",3,1.0,0.38,0.56
Return the characters and durations for each actor.,"['duration', 'character']","['duration', 'character']",2,1.0,1.0,1.0,"['musical_id', 'name', 'character', 'age', 'actor_id', 'duration']",2,1.0,0.33,0.5,"['musical_id', 'name', 'character', 'age', 'actor_id', 'duration']",2,1.0,0.33,0.5
Please show the different statuses of cities and the average population of cities with each status.,"['population', 'status']","['population', 'status']",2,1.0,1.0,1.0,"['population', 'area_km_2', 'official_name', 'status']",2,1.0,0.5,0.66,"['population', 'official_name', 'city_id', 'status', 'area_km_2', 'census_ranking']",2,1.0,0.33,0.5
What are the title and director of the films without any schedule?,"['film_id', 'directed_by', 'title']","['directed_by', 'title']",2,0.67,1.0,0.8,"['original_air_date', 'rank_in_series', 'directed_by', 'number_in_season', 'production_code', 'title']",2,0.67,0.33,0.44,"['original_air_date', 'rank_in_series', 'directed_by', 'number_in_season', 'production_code', 'film_id', 'title']",3,1.0,0.43,0.6
Sort the list of names and costs of all procedures in the descending order of cost.,"['cost', 'name']","['cost', 'name']",2,1.0,1.0,1.0,"['cost', 'name']",2,1.0,1.0,1.0,"['cost', 'name']",2,1.0,1.0,1.0
Which month has the most happy hours?,['month'],['month'],1,1.0,1.0,1.0,"['month', 'num_of_staff_in_charge', 'shop_id', 'member_id', 'hh_id', 'total_amount']",1,1.0,0.17,0.3,"['month', 'num_of_staff_in_charge', 'shop_id', 'member_id', 'time_of_purchase', 'open_year', 'hh_id', 'total_amount']",1,1.0,0.12,0.22
Which physicians are affiliated with either Surgery or Psychiatry department? Give me their names.,"['name', 'employeeid', 'departmentid']",['physician'],0,0.0,0.0,,['physician'],0,0.0,0.0,,['physician'],0,0.0,0.0,
Give me the names of members whose address is in Harford or Waterbury.,"['address', 'name']","['address', 'name']",2,1.0,1.0,1.0,"['address', 'name']",2,1.0,1.0,1.0,"['num_of_staff_in_charge', 'address', 'member_id', 'name', 'age', 'level_of_membership', 'membership_card']",2,1.0,0.29,0.44
Find the names of all procedures which cost more than 1000 but which physician John Wen was not trained in?,"['name', 'employeeid', 'cost', 'treatment', 'code']","['cost', 'physician', 'name']",2,0.4,0.67,0.5,"['cost', 'physician', 'name']",2,0.4,0.67,0.5,"['cost', 'physician', 'name']",2,0.4,0.67,0.5
What are the distinct nominees of the musicals with the award that is not 'Tony Award'?,"['nominee', 'award']","['nominee', 'result', 'award']",2,1.0,0.67,0.8,"['nominee', 'musical_id', 'name', 'result', 'year', 'category', 'award']",2,1.0,0.29,0.44,"['nominee', 'musical_id', 'name', 'result', 'year', 'category', 'award']",2,1.0,0.29,0.44
What are names of patients who made an appointment?,"['ssn', 'name']","['patient', 'name']",1,0.5,0.5,0.5,"['patient', 'name']",1,0.5,0.5,0.5,"['patient', 'name']",1,0.5,0.5,0.5
Count the number of patients who stayed in room 112.,"['patient', 'room']","['patient', 'room']",2,1.0,1.0,1.0,"['patient', 'room']",2,1.0,1.0,1.0,"['patient', 'room']",2,1.0,1.0,1.0
What are the names of musicals who have at 3 or more actors?,"['musical_id', 'name']",['name'],1,0.5,1.0,0.66,"['musical_id', 'name', 'character', 'age', 'duration']",2,1.0,0.4,0.58,"['musical_id', 'name', 'character', 'age', 'actor_id', 'duration']",2,1.0,0.33,0.5
"Return the themes of farm competitions, sorted by year ascending.","['theme', 'year']","['theme', 'year']",2,1.0,1.0,1.0,"['competition_id', 'rank', 'farm_id', 'theme', 'year']",2,1.0,0.4,0.58,"['total_horses', 'bulls', 'competition_id', 'cows', 'total_cattle', 'working_horses', 'oxen', 'farm_id', 'rank', 'theme', 'year', 'hosts', 'sheep_and_goats', 'pigs']",2,1.0,0.14,0.24
Please show the nominee who has been nominated the greatest number of times.,['nominee'],['nominee'],1,1.0,1.0,1.0,"['category', 'nominee']",1,1.0,0.5,0.66,"['category', 'result', 'nominee', 'award']",1,1.0,0.25,0.4
"What are the names of actors, ordered alphabetically?",['name'],['name'],1,1.0,1.0,1.0,"['musical_id', 'name', 'character', 'age', 'actor_id', 'duration']",1,1.0,0.17,0.3,"['musical_id', 'name', 'character', 'age', 'actor_id', 'duration']",1,1.0,0.17,0.3
Find the ids of the nurses who are on call in block floor 1 and block code 1.,"['nurse', 'blockfloor', 'blockcode']","['nurse', 'code']",1,0.33,0.5,0.4,"['nurse', 'code']",1,0.33,0.5,0.4,"['nurse', 'code']",1,0.33,0.5,0.4
List the name of actors in ascending alphabetical order.,['name'],['name'],1,1.0,1.0,1.0,"['musical_id', 'name', 'character', 'age', 'actor_id', 'duration']",1,1.0,0.17,0.3,"['musical_id', 'name', 'character', 'age', 'actor_id', 'duration']",1,1.0,0.17,0.3
Which department has the largest number of employees?,"['departmentid', 'name']",[],0,0.0,,,"['dname', 'mgr_ssn', 'dnumber']",0,0.0,0.0,,"['dname', 'mgr_start_date', 'mgr_ssn', 'dnumber']",0,0.0,0.0,
How many different types of rooms are there?,['roomtype'],['room'],0,0.0,0.0,,['room'],0,0.0,0.0,,['room'],0,0.0,0.0,
What are the names of actors and the musicals that they are in?,"['musical_id', 'name']","['musical_id', 'name', 'character']",2,1.0,0.67,0.8,"['musical_id', 'name', 'character', 'age', 'duration']",2,1.0,0.4,0.58,"['musical_id', 'name', 'character', 'age', 'actor_id', 'duration']",2,1.0,0.33,0.5
Show all the cinema names and opening years in descending order of opening year.,"['openning_year', 'name']","['openning_year', 'name']",2,1.0,1.0,1.0,"['openning_year', 'location', 'cinema_id', 'name']",2,1.0,0.5,0.66,"['show_times_per_day', 'name', 'date', 'cinema_id', 'capacity', 'film_id', 'openning_year', 'location']",2,1.0,0.25,0.4
Find the distinct locations that has a cinema.,['location'],"['location', 'cinema_id', 'name']",1,1.0,0.33,0.5,"['name', 'cinema_id', 'capacity', 'film_id', 'openning_year', 'location']",1,1.0,0.17,0.3,"['show_times_per_day', 'name', 'cinema_id', 'capacity', 'film_id', 'openning_year', 'location']",1,1.0,0.14,0.24
List the most common type of Status across cities.,['status'],['status'],1,1.0,1.0,1.0,"['population', 'city_id', 'official_name', 'status']",1,1.0,0.25,0.4,"['population', 'official_name', 'city_id', 'status', 'area_km_2', 'census_ranking']",1,1.0,0.17,0.3
What are the distinct names of nurses on call?,"['employeeid', 'name']","['nurse', 'name']",1,0.5,0.5,0.5,"['nurse', 'name']",1,0.5,0.5,0.5,"['nurse', 'name']",1,0.5,0.5,0.5
What are the characters and duration of actors?,"['duration', 'character']","['age', 'duration', 'character']",2,1.0,0.67,0.8,"['musical_id', 'name', 'character', 'age', 'actor_id', 'duration']",2,1.0,0.33,0.5,"['musical_id', 'name', 'character', 'age', 'actor_id', 'duration']",2,1.0,0.33,0.5
Find the patient who has the most recent undergoing treatment?,"['patient', 'dateundergoes']",['patient'],1,0.5,1.0,0.66,['patient'],1,0.5,1.0,0.66,['patient'],1,0.5,1.0,0.66
Find the name and position of the head of the department with the least employees.,"['name', 'employeeid', 'head', 'departmentid', 'position']","['department', 'name', 'position']",2,0.4,0.67,0.5,"['department', 'name', 'position']",2,0.4,0.67,0.5,"['department', 'name', 'position']",2,0.4,0.67,0.5
"Show cinema name, film title, date, and price for each record in schedule.","['name', 'date', 'cinema_id', 'price', 'film_id', 'title']",[],0,0.0,,,"['film_id', 'rank_in_series', 'production_code', 'number_in_season']",1,0.17,0.25,0.2,"['original_air_date', 'rank_in_series', 'directed_by', 'number_in_season', 'production_code', 'film_id', 'title']",2,0.33,0.29,0.3
Return the duration of the actor with the greatest age.,"['age', 'duration']","['age', 'duration']",2,1.0,1.0,1.0,"['age', 'duration', 'actor_id', 'name']",2,1.0,0.5,0.66,"['musical_id', 'name', 'character', 'age', 'actor_id', 'duration']",2,1.0,0.33,0.5
How many patients' prescriptions are made by physician John Dorian?,"['name', 'employeeid', 'ssn']",['physician'],0,0.0,0.0,,['physician'],0,0.0,0.0,,['physician'],0,0.0,0.0,
What are the characters of actors in descending order of age?,"['age', 'character']","['age', 'character']",2,1.0,1.0,1.0,"['musical_id', 'name', 'character', 'age', 'actor_id', 'duration']",2,1.0,0.33,0.5,"['musical_id', 'name', 'character', 'age', 'actor_id', 'duration']",2,1.0,0.33,0.5
What is the id of the appointment that started most recently?,"['start', 'appointmentid']",['appointment'],0,0.0,0.0,,['appointment'],0,0.0,0.0,,['appointment'],0,0.0,0.0,
Show each location and the number of cinemas there.,['location'],['location'],1,1.0,1.0,1.0,"['show_times_per_day', 'name', 'cinema_id', 'capacity', 'film_id', 'openning_year', 'location']",1,1.0,0.14,0.24,"['show_times_per_day', 'name', 'cinema_id', 'capacity', 'price', 'film_id', 'openning_year', 'location']",1,1.0,0.12,0.22
Find the three most expensive procedures.,"['cost', 'name']",[],0,0.0,,,[],0,0.0,,,[],0,0.0,,
What is the name of the nurse has the most appointments?,"['prepnurse', 'name', 'employeeid']","['nurse', 'name']",1,0.33,0.5,0.4,"['nurse', 'name']",1,0.33,0.5,0.4,"['nurse', 'name']",1,0.33,0.5,0.4
List the nominees that have been nominated more than two musicals.,['nominee'],"['nominee', 'result']",1,1.0,0.5,0.66,"['nominee', 'musical_id', 'name', 'result', 'year', 'award']",1,1.0,0.17,0.3,"['nominee', 'musical_id', 'name', 'result', 'year', 'category', 'award']",1,1.0,0.14,0.24
How many medications are prescribed for each brand?,"['brand', 'name', 'code']",['medication'],0,0.0,0.0,,['medication'],0,0.0,0.0,,['medication'],0,0.0,0.0,
Who are all the directors?,['directed_by'],['directed_by'],1,1.0,1.0,1.0,"['rank_in_series', 'directed_by', 'title', 'production_code']",1,1.0,0.25,0.4,"['original_air_date', 'rank_in_series', 'directed_by', 'number_in_season', 'production_code', 'film_id', 'title']",1,1.0,0.14,0.24
How many companies are headquartered in the US?,['headquarters'],[],0,0.0,,,"['industry', 'headquarters', 'name']",1,1.0,0.33,0.5,"['industry', 'sales_in_billion', 'market_value_in_billion', 'headquarters', 'profits_in_billion', 'assets_in_billion', 'name', 'company_id']",1,1.0,0.12,0.22
Show the title and director for all films.,"['directed_by', 'title']","['directed_by', 'title']",2,1.0,1.0,1.0,"['rank_in_series', 'directed_by', 'number_in_season', 'production_code', 'film_id', 'title']",2,1.0,0.33,0.5,"['original_air_date', 'rank_in_series', 'directed_by', 'number_in_season', 'production_code', 'film_id', 'title']",2,1.0,0.29,0.44
Find the physicians who are trained in a procedure that costs more than 5000.,"['name', 'employeeid', 'cost', 'treatment', 'code']","['cost', 'physician']",1,0.2,0.5,0.28,"['cost', 'physician']",1,0.2,0.5,0.28,"['cost', 'physician']",1,0.2,0.5,0.28
Show names of actors and names of musicals they are in.,"['musical_id', 'name']","['musical_id', 'name', 'character']",2,1.0,0.67,0.8,"['musical_id', 'name', 'character', 'age', 'duration']",2,1.0,0.4,0.58,"['musical_id', 'name', 'character', 'age', 'actor_id', 'duration']",2,1.0,0.33,0.5
List the official names of cities that have not held any competition.,"['host_city_id', 'city_id', 'official_name']",[],0,0.0,,,[],0,0.0,,,"['competition_id', 'host_city_id', 'rank', 'farm_id', 'theme', 'year', 'hosts']",1,0.33,0.14,0.2
Find the number of rooms located on each block floor.,"['blockfloor', 'blockcode']",['room'],0,0.0,0.0,,['room'],0,0.0,0.0,,['room'],0,0.0,0.0,
List the name and cost of all procedures sorted by the cost from the highest to the lowest.,"['cost', 'name']","['cost', 'name']",2,1.0,1.0,1.0,"['cost', 'name']",2,1.0,1.0,1.0,"['cost', 'name']",2,1.0,1.0,1.0
Which physician was trained in the procedure that costs the most.,"['name', 'employeeid', 'cost', 'treatment', 'code']","['cost', 'physician']",1,0.2,0.5,0.28,"['cost', 'physician']",1,0.2,0.5,0.28,"['cost', 'physician']",1,0.2,0.5,0.28
How many rooms are located for each block code?,"['blockfloor', 'blockcode']",['room'],0,0.0,0.0,,['room'],0,0.0,0.0,,['room'],0,0.0,0.0,
Show the names of companies and the number of employees they have,"['people_id', 'company_id', 'name']",['name'],1,0.33,1.0,0.5,['name'],1,0.33,1.0,0.5,['name'],1,0.33,1.0,0.5
Who is the nominee who has been nominated for the most musicals?,['nominee'],"['nominee', 'result']",1,1.0,0.5,0.66,"['nominee', 'musical_id', 'name', 'result', 'year', 'award']",1,1.0,0.17,0.3,"['nominee', 'musical_id', 'name', 'result', 'year', 'category', 'award']",1,1.0,0.14,0.24
Show names of companies and that of employees in descending order of number of years working for that employee.,"['people_id', 'company_id', 'year_working', 'name']",['name'],1,0.25,1.0,0.4,['name'],1,0.25,1.0,0.4,['name'],1,0.25,1.0,0.4
Return the first names and last names of employees who earn more than 30000 in salary.,"['fname', 'salary', 'lname']",[],0,0.0,,,"['fname', 'salary', 'lname']",3,1.0,1.0,1.0,"['sex', 'bdate', 'lname', 'address', 'fname', 'salary', 'ssn', 'dno', 'minit', 'super_ssn']",3,1.0,0.3,0.46
Show the different headquarters and number of companies at each headquarter.,['headquarters'],['headquarters'],1,1.0,1.0,1.0,"['industry', 'headquarters', 'name']",1,1.0,0.33,0.5,"['industry', 'sales_in_billion', 'market_value_in_billion', 'headquarters', 'profits_in_billion', 'assets_in_billion', 'name', 'company_id']",1,1.0,0.12,0.22
List the physicians' employee ids together with their primary affiliation departments' ids.,"['physician', 'department', 'primaryaffiliation']",[],0,0.0,,,[],0,0.0,,,[],0,0.0,,
What is the headquarter of the company with the largest sales?,"['sales_in_billion', 'headquarters']",['name'],0,0.0,0.0,,"['industry', 'sales_in_billion', 'market_value_in_billion', 'headquarters', 'profits_in_billion', 'name']",2,1.0,0.33,0.5,"['industry', 'sales_in_billion', 'market_value_in_billion', 'headquarters', 'profits_in_billion', 'assets_in_billion', 'name', 'company_id']",2,1.0,0.25,0.4
Compute the mean price of procedures physician John Wen was trained in.,"['name', 'employeeid', 'cost', 'treatment', 'code']",['physician'],0,0.0,0.0,,['physician'],0,0.0,0.0,,['physician'],0,0.0,0.0,
What are the name and primarily affiliated department name of each physician?,"['name', 'employeeid', 'primaryaffiliation', 'departmentid']","['department', 'name']",1,0.25,0.5,0.34,"['department', 'name']",1,0.25,0.5,0.34,"['department', 'name']",1,0.25,0.5,0.34
How many members have the black membership card?,['membership_card'],['membership_card'],1,1.0,1.0,1.0,"['address', 'name', 'age', 'level_of_membership', 'membership_card']",1,1.0,0.2,0.34,"['num_of_staff', 'num_of_staff_in_charge', 'address', 'member_id', 'name', 'age', 'level_of_membership', 'membership_card', 'total_amount']",1,1.0,0.11,0.2
What are the names of the physicians who have 'senior' in their titles.,"['name', 'position']","['physician', 'name']",1,0.5,0.5,0.5,"['physician', 'name']",1,0.5,0.5,0.5,"['physician', 'name']",1,0.5,0.5,0.5
What is the names of the physicians who prescribe medication Thesisin?,"['name', 'employeeid', 'code']","['medication', 'physician', 'name']",1,0.33,0.33,0.34,"['medication', 'physician', 'name']",1,0.33,0.33,0.34,"['medication', 'physician', 'name']",1,0.33,0.33,0.34
What is the average cost of procedures that physician John Wen was trained in?,"['name', 'employeeid', 'cost', 'treatment', 'code']","['cost', 'physician']",1,0.2,0.5,0.28,"['cost', 'physician']",1,0.2,0.5,0.28,"['cost', 'physician']",1,0.2,0.5,0.28
Return the name of each physician and the number of patients he or she treats.,"['name', 'employeeid', 'pcp']","['patient', 'physician', 'name']",1,0.33,0.33,0.34,"['patient', 'physician', 'name']",1,0.33,0.33,0.34,"['patient', 'physician', 'name']",1,0.33,0.33,0.34
Which physicians are trained in procedures that are more expensive than 5000?,"['name', 'employeeid', 'cost', 'treatment', 'code']",['physician'],0,0.0,0.0,,['physician'],0,0.0,0.0,,['physician'],0,0.0,0.0,
Which statuses correspond to both cities that have a population over 1500 and cities that have a population lower than 500?,"['population', 'status']","['population', 'status']",2,1.0,1.0,1.0,"['population', 'official_name', 'census_ranking', 'status']",2,1.0,0.5,0.66,"['population', 'official_name', 'city_id', 'status', 'area_km_2', 'census_ranking']",2,1.0,0.33,0.5
What are the names of the physician who prescribed the highest dose?,"['dose', 'employeeid', 'name']","['physician', 'name']",1,0.33,0.5,0.4,"['physician', 'name']",1,0.33,0.5,0.4,"['physician', 'name']",1,0.33,0.5,0.4
Find the name of physicians whose position title contains the word 'senior'.,"['name', 'position']","['physician', 'name', 'position']",2,1.0,0.67,0.8,"['physician', 'name', 'position']",2,1.0,0.67,0.8,"['physician', 'name', 'position']",2,1.0,0.67,0.8
What are the census rankings of cities that do not have the status 'Village'?,"['census_ranking', 'status']","['census_ranking', 'status']",2,1.0,1.0,1.0,"['population', 'official_name', 'census_ranking', 'status']",2,1.0,0.5,0.66,"['population', 'official_name', 'city_id', 'status', 'area_km_2', 'census_ranking']",2,1.0,0.33,0.5
