Question,SQL,Expect Columns,Columns-token Min threshold,Columns-token choose columns,Description Min threshold,Description choose columns
How many daily active users each day?,"SELECT event_date, COUNT(DISTINCT user_pseudo_id)
FROM (
    SELECT event_date, ga_session_id, user_pseudo_id
    FROM team_tds.tds_intern.pointx_fbs_txn_rpt_dly
    GROUP BY event_date, ga_session_id, user_pseudo_id
    HAVING SUM(engagement_time_msec) > 10*1000
)
GROUP BY event_date
ORDER BY event_date ASC","['event_date', 'ga_session_id', 'user_pseudo_id', 'engagement_time_msec']",0.3538821041584015,125,0.15984684228897095,48
How many monthly active users each month?,"SELECT event_month, COUNT(DISTINCT user_pseudo_id)
FROM (
    SELECT event_month, ga_session_id, user_pseudo_id
    FROM team_tds.tds_intern.pointx_fbs_txn_rpt_dly
    GROUP BY event_month, ga_session_id, user_pseudo_id
    HAVING SUM(engagement_time_msec) > 10*1000
)
GROUP BY event_month
ORDER BY event_month ASC","['ga_session_id', 'event_month', 'user_pseudo_id', 'engagement_time_msec']",0.3538821041584015,108,0.1179906576871872,67
What is the average number of daily active users last 7 days?,"SELECT AVG(cnt) FROM
  (SELECT event_date, COUNT(DISTINCT user_pseudo_id) as cnt
  FROM (
      SELECT event_date, ga_session_id, user_pseudo_id
      FROM team_tds.tds_intern.pointx_fbs_txn_rpt_dly
      GROUP BY event_date, ga_session_id, user_pseudo_id
      HAVING SUM(engagement_time_msec) > 10*1000
  )
  GROUP BY event_date
  ORDER BY event_date ASC)
WHERE event_date >= DATEADD(DAY, -7, GETDATE())","['event_date', 'ga_session_id', 'user_pseudo_id', 'engagement_time_msec']",0.293606162071228,146,0.11249055713415146,75
What is the mean number of daily active users from last 30 days?,"SELECT AVG(cnt) FROM
  (SELECT event_date, COUNT(DISTINCT user_pseudo_id) as cnt
  FROM (
      SELECT event_date, ga_session_id, user_pseudo_id
      FROM team_tds.tds_intern.pointx_fbs_txn_rpt_dly
      GROUP BY event_date, ga_session_id, user_pseudo_id
      HAVING SUM(engagement_time_msec) > 10*1000
  )
  GROUP BY event_date
  ORDER BY event_date ASC)
WHERE event_date >= DATEADD(DAY, -30, GETDATE())","['event_date', 'ga_session_id', 'user_pseudo_id', 'engagement_time_msec']",0.35158151388168335,125,0.15479889512062073,51
When was the last time each user was active?,"SELECT user_pseudo_id, MAX(last_active) FROM
  (SELECT event_date, ga_session_id, user_pseudo_id, MAX(event_timestamp) as last_active
  FROM team_tds.tds_intern.pointx_fbs_txn_rpt_dly
  GROUP BY event_date, ga_session_id, user_pseudo_id
  HAVING SUM(engagement_time_msec) > 10*1000)
GROUP BY user_pseudo_id","['user_pseudo_id', 'ga_session_id', 'event_timestamp', 'event_date', 'engagement_time_msec']",0.3834719955921173,139,0.25817030668258667,30
How many users have engagement_time_msec more than 10 seconds?,"SELECT COUNT(DISTINCT user_pseudo_id) FROM 
  (SELECT ga_session_id, user_pseudo_id FROM team_tds.tds_intern.pointx_fbs_txn_rpt_dly
  GROUP BY ga_session_id, user_pseudo_id
  HAVING SUM(engagement_time_msec) >= 10*1000)","['ga_session_id', 'user_pseudo_id', 'engagement_time_msec']",0.3538821041584015,151,0.19881078600883484,35
What is the mean number of daily active users on weekdays?,"SELECT AVG(cnt) FROM
  (SELECT event_date, COUNT(DISTINCT user_pseudo_id) as cnt
  FROM (
      SELECT event_date, ga_session_id, user_pseudo_id
      FROM team_tds.tds_intern.pointx_fbs_txn_rpt_dly
      GROUP BY event_date, ga_session_id, user_pseudo_id
      HAVING SUM(engagement_time_msec) > 10*1000
  )
  GROUP BY event_date
  ORDER BY event_date ASC)
WHERE DAYOFWEEK(event_date) BETWEEN 2 AND 6","['event_date', 'ga_session_id', 'user_pseudo_id', 'engagement_time_msec']",0.14654441177845,150,0.1261439323425293,66
What is the mean number of daily active users on weekends?,"SELECT AVG(cnt) FROM
  (SELECT event_date, COUNT(DISTINCT user_pseudo_id) as cnt
  FROM (
      SELECT event_date, ga_session_id, user_pseudo_id
      FROM team_tds.tds_intern.pointx_fbs_txn_rpt_dly
      GROUP BY event_date, ga_session_id, user_pseudo_id
      HAVING SUM(engagement_time_msec) > 10*1000
  )
  GROUP BY event_date
  ORDER BY event_date ASC)
WHERE DAYOFWEEK(event_date) IN (1, 7)","['event_date', 'ga_session_id', 'user_pseudo_id', 'engagement_time_msec']",0.25978031754493713,150,0.11753962934017181,66
How many times each user opens the app each week?,"SELECT user_pseudo_id, EXTRACT(WEEK FROM event_timestamp), EXTRACT(YEAR FROM event_timestamp), COUNT(event_name) FROM team_tds.tds_intern.pointx_fbs_txn_rpt_dly
WHERE event_name = ""session_start""
GROUP BY user_pseudo_id, EXTRACT(WEEK FROM event_timestamp), EXTRACT(YEAR FROM event_timestamp)","['user_pseudo_id', 'event_name', 'event_timestamp']",0.34231093525886536,132,0.10443906486034393,90
What is the average number of app opens each week?,"SELECT week, year, AVG(cnt) FROM
  (SELECT user_pseudo_id, EXTRACT(WEEK FROM event_timestamp) AS week, EXTRACT(YEAR FROM event_timestamp) AS year, COUNT(event_name) as cnt FROM team_tds.tds_intern.pointx_fbs_txn_rpt_dly
  WHERE event_name = ""session_start""
  GROUP BY user_pseudo_id, EXTRACT(WEEK FROM event_timestamp), EXTRACT(YEAR FROM event_timestamp))
GROUP BY week, year","['user_pseudo_id', 'event_name', 'event_timestamp']",0.30198875069618225,142,0.07577653229236603,109
How often each user opens the app each month? ,"SELECT user_pseudo_id, EXTRACT(MONTH FROM event_timestamp), EXTRACT(YEAR FROM event_timestamp), COUNT(event_name) FROM team_tds.tds_intern.pointx_fbs_txn_rpt_dly
WHERE event_name = ""session_start""
GROUP BY user_pseudo_id, EXTRACT(MONTH FROM event_timestamp), EXTRACT(YEAR FROM event_timestamp)","['user_pseudo_id', 'event_name', 'event_timestamp']",0.3874548077583313,96,0.07461103796958923,90
How many times each user opens the app each month?,"SELECT user_pseudo_id, EXTRACT(MONTH FROM event_timestamp), EXTRACT(YEAR FROM event_timestamp), COUNT(event_name) FROM team_tds.tds_intern.pointx_fbs_txn_rpt_dly
WHERE event_name = ""session_start""
GROUP BY user_pseudo_id, EXTRACT(MONTH FROM event_timestamp), EXTRACT(YEAR FROM event_timestamp)","['user_pseudo_id', 'event_name', 'event_timestamp']",0.3874548077583313,99,0.08576661348342896,99
What is the average number of app opens each month?,"SELECT month, year, AVG(cnt) FROM
  (SELECT user_pseudo_id, EXTRACT(MONTH FROM event_timestamp) AS month, EXTRACT(YEAR FROM event_timestamp) AS year, COUNT(event_name) AS cnt FROM team_tds.tds_intern.pointx_fbs_txn_rpt_dly
  WHERE event_name = ""session_start""
  GROUP BY user_pseudo_id, EXTRACT(MONTH FROM event_timestamp), EXTRACT(YEAR FROM event_timestamp))
GROUP BY month, year","['user_pseudo_id', 'event_name', 'event_timestamp']",0.30198875069618225,144,0.05226699262857437,128
How many times each user open the app?,"SELECT user_pseudo_id, COUNT(event_name) FROM team_tds.tds_intern.pointx_fbs_txn_rpt_dly
WHERE event_name = ""session_start""
GROUP BY user_pseudo_id","['user_pseudo_id', 'event_name']",0.39394980669021606,91,0.06265516579151154,132
How many days have passed since each user last opened the app?,"SELECT user_pseudo_id, DATEDIFF(DAY, MAX(event_timestamp), GETDATE()) FROM team_tds.tds_intern.pointx_fbs_txn_rpt_dly
WHERE event_name = ""session_start""
GROUP BY user_pseudo_id","['user_pseudo_id', 'event_name', 'event_timestamp']",0.3345378339290619,106,0.14349296689033508,71
